procédé;paramètre considéré;;nom cellule;valeur attribuée;unité;remarques
;;température de référence pour formule ATV;hyp_II_BA_besoinO2_DBO_resp_Tref;15;;
Filtration tertiaire sur sable;;Pression eau de lavage ponce;hyp_III_filtrasable_P_eau_lavage;8.2;mCE;fiche P. JOUAFFRE corrigée par K. GAID
;;Pression eau de lavage schiste TE <2,5 H 1m;;7.2;mCE;
;;Pression eau de lavage schiste TE <2,5 h 2m;;8.4;mCE;
;;Pression eau de lavage sable fin TE~1;;7.8;mCE;
;;Pression eau de lavage sable TE>1,35;;10;mCE;
;;Pression eau de lavage bicouche sable ponce 1 m;;7.4;mCE;
;;Pression eau de lavage bicouche sable ponce 2 m;;8.6;mCE;
;;Pression air de lavage ponce;hyp_III_filtrasable_P_air_lavage;4.1;mCE;fiche P. JOUAFFRE corrigée par K. GAID
;;Pression air de lavage schiste TE <2,5 H 1m;;3.2;mCE;
;;Pression air de lavage schiste TE <2,5 h 2m;;4.4;mCE;
;;Pression air de lavage sable fin TE~1;;3.5;mCE;
;;Pression air de lavage sable TE>1,35;;6.1;mCE;
;;Pression air de lavage bicouche sable ponce 1 m;;3.7;mCE;
;;Pression air de lavage bicouche sable ponce 2 m;;4.8;mCE;
;;Conso (par m2 de filtration et lavage) eau de lavage ponce;hyp_III_filtrasable_eau_lavage_m3_m2_lavage;6;m3/(m2.lavage);fiche P. JOUAFFRE corrigée par K. GAID
;;Conso (par m2 de filtration et lavage) eau de lavage schiste TE <2,5 H 1m;;11;m3/(m2.lavage);
;;Conso (par m2 de filtration et lavage) eau de lavage schiste TE <2,5 h 2m;;13;m3/(m2.lavage);
;;Conso (par m2 de filtration et lavage) eau de lavage sable fin TE~1;;4;m3/(m2.lavage);
;;Conso (par m2 de filtration et lavage) eau de lavage sable TE>1,35;;9;m3/(m2.lavage);
;;Conso (par m2 de filtration et lavage) eau de lavage bicouche sable ponce 1 m;;7;m3/(m2.lavage);
;;Conso (par m2 de filtration et lavage) eau de lavage bicouche sable ponce 2 m;;9;m3/(m2.lavage);
;;Capacité de rétention ponce;hyp_III_filtrasable_capacite_retention;4.5;kgMES/m3;fiche P. JOUAFFRE corrigée par K. GAID
;;Capacité de rétention schiste TE <2,5 H 1m;;3;kgMES/m3;
;;Capacité de rétention schiste TE <2,5 h 2m;;4.5;kgMES/m3;
;;Capacité de rétention sable fin TE~2;;1.2;kgMES/m3;
